TransactionId,TransactionDateTime,SelfServiceStatus,EventName,EventDate,VenueCountry,VenueCity,Section,Row,SeatFrom,SeatTo,Quantity,ListingNotes,CurrencyCode,TotalSellerNetProceeds,DeliveryMethodName
538658673,06/07/2024 03:31:44 a. m.,Complete,Chivas vs Toluca,07/07/2024 01:00:00 a. m.,México,Zapopan,Upper Tier 8,,,,4,"Incluye estacionamiento, Organización del Evento",MXN,1800.0000,Transferencia móvil
542331455,29/08/2024 04:00:15 a. m.,Complete,Guadalajara vs Juárez,31/08/2024 11:00:00 p. m.,México,Zapopan,Upper Tier 19,,,,4,Organización del Evento,MXN,1130.4000,Transferencia móvil
538720821,07/07/2024 02:20:03 a. m.,Complete,Guadalajara vs C.F. Monterrey,29/09/2024 03:05:00 a. m.,México,Zapopan,Lower Tier 3,,,,2,Organización del Evento,MXN,2160.0000,Transferencia móvil
534310379,02/05/2024 05:24:28 p. m.,Complete,Natanael Cano,05/05/2024 02:00:00 a. m.,México,Aguascalientes,General,,,,2,Organización del Evento,MXN,4941.0000,Entrada electrónica
543769084,14/09/2024 10:36:05 p. m.,Complete,Club América vs Guadalajara,15/09/2024 12:30:00 a. m.,México,Mexico,Platea B22,,,,3,Organización del Evento,MXN,4050.0000,Transferencia Móvil de Entradas
524307182,15/10/2023 06:23:42 a. m.,Complete,Gloria Trevi - Palenque Fiestas de Octubre 2023,22/10/2023 05:30:00 a. m.,México,Zapopan,Plata,,,,2,,MXN,5392.8000,FedEx Nacional Día Siguiente
523386473,27/09/2023 01:26:40 a. m.,Complete,Carlos Rivera - Palenque Fiestas de Octubre 2023,07/10/2023 05:55:00 a. m.,México,Zapopan,Plata,,,,2,,MXN,6100.2000,FedEx Nacional Día Siguiente
546128727,12/10/2024 06:13:54 a. m.,Complete,Guadalajara vs Pumas,03/11/2024 01:05:00 a. m.,México,Zapopan,Grada Superior,,,,4,Organización del Evento,MXN,2509.2000,Transferencia móvil
522554227,11/09/2023 09:43:36 p. m.,Complete,Natanael Cano,01/10/2023 05:55:00 a. m.,México,Guadalajara,Oro,,,,2,,MXN,9383.4000,FedEx Nacional Día Siguiente
523827402,05/10/2023 04:32:23 a. m.,Complete,Carlos Rivera - Palenque Fiestas de Octubre 2023,07/10/2023 05:55:00 a. m.,México,Zapopan,General,,,,4,,MXN,5400.0000,Entrada electrónica
513767833,24/03/2023 10:57:51 p. m.,Complete,México v. Jamaica,27/03/2023 12:00:00 a. m.,México,Ciudad de México,139A Cabecera,,,,2,,MXN,5018.4000,Entrega disponible solo en la ciudad del evento
514477849,08/04/2023 07:31:00 a. m.,Complete,Alejandro Fernández Y Alex Fernández,23/04/2023 04:00:00 a. m.,México,Aguascalientes,Gold,,,,5,,MXN,29250.0000,FedEx Nacional Día Siguiente
